class,fit,model_val,quant_calib,prob_calib,shap_bg,prob_calib_below_thr
Recon-Ping_Sweep,466,111,37,111,15,False
Recon-VulScan,1369,326,109,326,43,False
MQTT-Malformed_Data,3231,770,256,770,103,False
MQTT-DoS-Connect_Flood,8047,1916,639,1916,255,False
ARP_Spoofing,10110,2407,802,2407,321,False
Recon-OS_Scan,10603,2525,842,2525,337,False
MQTT-DDoS-Publish_Flood,17404,4143,1381,4143,552,False
MQTT-DoS-Publish_Flood,27957,6656,2219,6656,888,False
Recon-Port_Scan,52908,12597,4199,12597,1680,False
MQTT-DDoS-Connect_Flood,109013,25955,8652,25955,3461,False
Benign,121420,28910,9637,28910,3855,False
TCP_IP-DoS-TCP,239641,57058,19019,57058,7608,False
TCP_IP-DoS-ICMP,262263,62444,20815,62444,8326,False
TCP_IP-DoS-SYN,278400,66285,22095,66285,8838,False
TCP_IP-DoS-UDP,357179,85042,28348,85042,11339,False
TCP_IP-DDoS-SYN,505237,120294,40098,120294,16039,False
TCP_IP-DDoS-TCP,506813,120670,40223,120670,16089,False
TCP_IP-DDoS-ICMP,968610,230621,76874,230621,30750,False
TCP_IP-DDoS-UDP,1030653,245393,81798,245393,32719,False
