label,train,test,train_pct
TCP_IP-DDoS-UDP2_train,207295,0,2.895
TCP_IP-DDoS-UDP3_train,206604,0,2.885
TCP_IP-DDoS-UDP4_train,206343,0,2.882
TCP_IP-DDoS-UDP1_train,206170,0,2.879
TCP_IP-DDoS-UDP5_train,205507,0,2.87
TCP_IP-DDoS-UDP8_train,204105,0,2.85
TCP_IP-DDoS-TCP3_train,204075,0,2.85
TCP_IP-DDoS-SYN2_train,203669,0,2.844
TCP_IP-DDoS-TCP1_train,202311,0,2.825
TCP_IP-DDoS-UDP6_train,202247,0,2.824
TCP_IP-DDoS-SYN3_train,202023,0,2.821
TCP_IP-DDoS-TCP4_train,200998,0,2.807
TCP_IP-DDoS-SYN1_train,199390,0,2.784
TCP_IP-DDoS-UDP7_train,197685,0,2.761
TCP_IP-DDoS-TCP2_train,197081,0,2.752
TCP_IP-DDoS-SYN4_train,196880,0,2.749
TCP_IP-DDoS-ICMP5_train,195032,0,2.724
TCP_IP-DDoS-ICMP1_train,194938,0,2.722
TCP_IP-DDoS-ICMP2_train,194818,0,2.721
TCP_IP-DDoS-ICMP8_train,193340,0,2.7
TCP_IP-DDoS-ICMP4_train,192741,0,2.692
Benign_train,192732,0,2.691
TCP_IP-DDoS-ICMP6_train,190875,0,2.666
TCP_IP-DDoS-ICMP3_train,189710,0,2.649
TCP_IP-DDoS-ICMP7_train,186022,0,2.598
MQTT-DDoS-Connect_Flood_train,173036,0,2.416
TCP_IP-DoS-UDP3_train,146146,0,2.041
TCP_IP-DoS-UDP4_train,143301,0,2.001
TCP_IP-DoS-UDP2_train,140492,0,1.962
TCP_IP-DoS-UDP1_train,137011,0,1.913
TCP_IP-DoS-SYN2_train,111647,0,1.559
TCP_IP-DoS-SYN1_train,111431,0,1.556
TCP_IP-DoS-SYN4_train,110635,0,1.545
TCP_IP-DoS-ICMP3_train,108686,0,1.518
TCP_IP-DoS-SYN3_train,108190,0,1.511
TCP_IP-DoS-ICMP4_train,106122,0,1.482
TCP_IP-DoS-ICMP1_train,104507,0,1.459
TCP_IP-DoS-ICMP2_train,96977,0,1.354
TCP_IP-DoS-TCP3_train,95968,0,1.34
TCP_IP-DoS-TCP2_train,95521,0,1.334
TCP_IP-DoS-TCP1_train,95407,0,1.332
TCP_IP-DoS-TCP4_train,93488,0,1.306
Recon-Port_Scan_train,83981,0,1.173
MQTT-DoS-Publish_Flood_train,44376,0,0.62
MQTT-DDoS-Publish_Flood_train,27623,0,0.386
Recon-OS_Scan_train,16832,0,0.235
ARP_Spoofing_train,16047,0,0.224
MQTT-DoS-Connect_Flood_train,12773,0,0.178
MQTT-Malformed_Data_train,5130,0,0.072
Recon-VulScan_train,2173,0,0.03
Recon-Ping_Sweep_train,740,0,0.01
Benign_test,0,37607,0.0
MQTT-DDoS-Publish_Flood_test,0,8416,0.0
MQTT-DDoS-Connect_Flood_test,0,41916,0.0
ARP_Spoofing_test,0,1744,0.0
MQTT-Malformed_Data_test,0,1747,0.0
TCP_IP-DDoS-SYN_test,0,172397,0.0
TCP_IP-DDoS-ICMP2_test,0,195692,0.0
MQTT-DoS-Connect_Flood_test,0,3131,0.0
MQTT-DoS-Publish_Flood_test,0,8505,0.0
Recon-Port_Scan_test,0,22622,0.0
Recon-Ping_Sweep_test,0,186,0.0
Recon-VulScan_test,0,1034,0.0
TCP_IP-DDoS-ICMP1_test,0,154007,0.0
Recon-OS_Scan_test,0,3834,0.0
TCP_IP-DDoS-UDP1_test,0,205654,0.0
TCP_IP-DDoS-UDP2_test,0,156416,0.0
TCP_IP-DDoS-TCP_test,0,182598,0.0
TCP_IP-DoS-SYN_test,0,98595,0.0
TCP_IP-DoS-ICMP_test,0,98432,0.0
TCP_IP-DoS-TCP_test,0,82096,0.0
TCP_IP-DoS-UDP_test,0,137553,0.0
