label,lbl_split,family,attack_type,chunk
Benign_test,test,Benign,Benign,
Benign_train,train,Benign,Benign,
TCP_IP-DDoS-ICMP1_test,test,DDoS,TCP_IP-DDoS-ICMP,1.0
TCP_IP-DDoS-ICMP1_train,train,DDoS,TCP_IP-DDoS-ICMP,1.0
TCP_IP-DDoS-ICMP2_test,test,DDoS,TCP_IP-DDoS-ICMP,2.0
TCP_IP-DDoS-ICMP2_train,train,DDoS,TCP_IP-DDoS-ICMP,2.0
TCP_IP-DDoS-ICMP3_train,train,DDoS,TCP_IP-DDoS-ICMP,3.0
TCP_IP-DDoS-ICMP4_train,train,DDoS,TCP_IP-DDoS-ICMP,4.0
TCP_IP-DDoS-ICMP5_train,train,DDoS,TCP_IP-DDoS-ICMP,5.0
TCP_IP-DDoS-ICMP6_train,train,DDoS,TCP_IP-DDoS-ICMP,6.0
TCP_IP-DDoS-ICMP7_train,train,DDoS,TCP_IP-DDoS-ICMP,7.0
TCP_IP-DDoS-ICMP8_train,train,DDoS,TCP_IP-DDoS-ICMP,8.0
TCP_IP-DDoS-SYN1_train,train,DDoS,TCP_IP-DDoS-SYN,1.0
TCP_IP-DDoS-SYN2_train,train,DDoS,TCP_IP-DDoS-SYN,2.0
TCP_IP-DDoS-SYN3_train,train,DDoS,TCP_IP-DDoS-SYN,3.0
TCP_IP-DDoS-SYN4_train,train,DDoS,TCP_IP-DDoS-SYN,4.0
TCP_IP-DDoS-SYN_test,test,DDoS,TCP_IP-DDoS-SYN,
TCP_IP-DDoS-TCP1_train,train,DDoS,TCP_IP-DDoS-TCP,1.0
TCP_IP-DDoS-TCP2_train,train,DDoS,TCP_IP-DDoS-TCP,2.0
TCP_IP-DDoS-TCP3_train,train,DDoS,TCP_IP-DDoS-TCP,3.0
TCP_IP-DDoS-TCP4_train,train,DDoS,TCP_IP-DDoS-TCP,4.0
TCP_IP-DDoS-TCP_test,test,DDoS,TCP_IP-DDoS-TCP,
TCP_IP-DDoS-UDP1_test,test,DDoS,TCP_IP-DDoS-UDP,1.0
TCP_IP-DDoS-UDP1_train,train,DDoS,TCP_IP-DDoS-UDP,1.0
TCP_IP-DDoS-UDP2_test,test,DDoS,TCP_IP-DDoS-UDP,2.0
TCP_IP-DDoS-UDP2_train,train,DDoS,TCP_IP-DDoS-UDP,2.0
TCP_IP-DDoS-UDP3_train,train,DDoS,TCP_IP-DDoS-UDP,3.0
TCP_IP-DDoS-UDP4_train,train,DDoS,TCP_IP-DDoS-UDP,4.0
TCP_IP-DDoS-UDP5_train,train,DDoS,TCP_IP-DDoS-UDP,5.0
TCP_IP-DDoS-UDP6_train,train,DDoS,TCP_IP-DDoS-UDP,6.0
TCP_IP-DDoS-UDP7_train,train,DDoS,TCP_IP-DDoS-UDP,7.0
TCP_IP-DDoS-UDP8_train,train,DDoS,TCP_IP-DDoS-UDP,8.0
TCP_IP-DoS-ICMP1_train,train,DoS,TCP_IP-DoS-ICMP,1.0
TCP_IP-DoS-ICMP2_train,train,DoS,TCP_IP-DoS-ICMP,2.0
TCP_IP-DoS-ICMP3_train,train,DoS,TCP_IP-DoS-ICMP,3.0
TCP_IP-DoS-ICMP4_train,train,DoS,TCP_IP-DoS-ICMP,4.0
TCP_IP-DoS-ICMP_test,test,DoS,TCP_IP-DoS-ICMP,
TCP_IP-DoS-SYN1_train,train,DoS,TCP_IP-DoS-SYN,1.0
TCP_IP-DoS-SYN2_train,train,DoS,TCP_IP-DoS-SYN,2.0
TCP_IP-DoS-SYN3_train,train,DoS,TCP_IP-DoS-SYN,3.0
TCP_IP-DoS-SYN4_train,train,DoS,TCP_IP-DoS-SYN,4.0
TCP_IP-DoS-SYN_test,test,DoS,TCP_IP-DoS-SYN,
TCP_IP-DoS-TCP1_train,train,DoS,TCP_IP-DoS-TCP,1.0
TCP_IP-DoS-TCP2_train,train,DoS,TCP_IP-DoS-TCP,2.0
TCP_IP-DoS-TCP3_train,train,DoS,TCP_IP-DoS-TCP,3.0
TCP_IP-DoS-TCP4_train,train,DoS,TCP_IP-DoS-TCP,4.0
TCP_IP-DoS-TCP_test,test,DoS,TCP_IP-DoS-TCP,
TCP_IP-DoS-UDP1_train,train,DoS,TCP_IP-DoS-UDP,1.0
TCP_IP-DoS-UDP2_train,train,DoS,TCP_IP-DoS-UDP,2.0
TCP_IP-DoS-UDP3_train,train,DoS,TCP_IP-DoS-UDP,3.0
TCP_IP-DoS-UDP4_train,train,DoS,TCP_IP-DoS-UDP,4.0
TCP_IP-DoS-UDP_test,test,DoS,TCP_IP-DoS-UDP,
MQTT-DDoS-Connect_Flood_test,test,MQTT,MQTT-DDoS-Connect_Flood,
MQTT-DDoS-Connect_Flood_train,train,MQTT,MQTT-DDoS-Connect_Flood,
MQTT-DDoS-Publish_Flood_test,test,MQTT,MQTT-DDoS-Publish_Flood,
MQTT-DDoS-Publish_Flood_train,train,MQTT,MQTT-DDoS-Publish_Flood,
MQTT-DoS-Connect_Flood_test,test,MQTT,MQTT-DoS-Connect_Flood,
MQTT-DoS-Connect_Flood_train,train,MQTT,MQTT-DoS-Connect_Flood,
MQTT-DoS-Publish_Flood_test,test,MQTT,MQTT-DoS-Publish_Flood,
MQTT-DoS-Publish_Flood_train,train,MQTT,MQTT-DoS-Publish_Flood,
MQTT-Malformed_Data_test,test,MQTT,MQTT-Malformed_Data,
MQTT-Malformed_Data_train,train,MQTT,MQTT-Malformed_Data,
Recon-OS_Scan_test,test,Recon,Recon-OS_Scan,
Recon-OS_Scan_train,train,Recon,Recon-OS_Scan,
Recon-Ping_Sweep_test,test,Recon,Recon-Ping_Sweep,
Recon-Ping_Sweep_train,train,Recon,Recon-Ping_Sweep,
Recon-Port_Scan_test,test,Recon,Recon-Port_Scan,
Recon-Port_Scan_train,train,Recon,Recon-Port_Scan,
Recon-VulScan_test,test,Recon,Recon-VulScan,
Recon-VulScan_train,train,Recon,Recon-VulScan,
ARP_Spoofing_test,test,Spoofing,ARP_Spoofing,
ARP_Spoofing_train,train,Spoofing,ARP_Spoofing,
